rap;pt;cent;Model_CtauTrueRes_PbPb;Model_CtauTrue_PbPb;sigmaMC_JpsiNoPR_PbPb;sigmaMC_Psi2SNoPR_PbPb;lambdaDSS_JpsiNoPR_PbPb;lambdaDSS_Psi2SNoPR_PbPb;
0.0-0.6;6.5-50.0;0-100;Delta;SingleSidedDecay;
0.0-0.6;6.5-50.0;0-10;Delta;SingleSidedDecay;
0.0-0.6;6.5-50.0;10-20;Delta;SingleSidedDecay;
0.0-0.6;6.5-50.0;20-30;Delta;SingleSidedDecay;
0.0-0.6;6.5-50.0;30-40;Delta;SingleSidedDecay;
0.0-0.6;6.5-50.0;40-50;Delta;SingleSidedDecay;
0.0-0.6;6.5-50.0;50-100;Delta;SingleSidedDecay;
0.0-0.6;6.5-8.5;0-100;Delta;SingleSidedDecay;
0.0-0.6;8.5-9.5;0-100;Delta;SingleSidedDecay;
0.0-0.6;9.5-11.0;0-100;Delta;SingleSidedDecay;
0.0-0.6;11.0-15.0;0-100;Delta;SingleSidedDecay;
0.0-0.6;15.0-50.0;0-100;Delta;SingleSidedDecay;
