rap;pt;cent;Model_Jpsi_PP;N_Jpsi_PP;_Jpsi_PP;sigma1_Jpsi_PP;rSigma21_Jpsi_PP;alpha_Jpsi_PP;n_Jpsi_PP;f_Jpsi_PP
0.0-1.6;6.5-30.0;0.0-10.0;DoubleCrystalBall;;;[0.02202,0.005,0.07];[1.89,1.0,3.0];[1.88];[1.74];[0.64,0.0,1.0]
0.0-1.6;6.5-30.0;10.0-20.0;DoubleCrystalBall;;;[0.02202,0.005,0.07];[1.89,1.0,3.0];[1.88];[1.74];[0.64,0.0,1.0]
0.0-1.6;6.5-30.0;20.0-30.0;DoubleCrystalBall;;;[0.02202,0.005,0.07];[1.89,1.0,3.0];[1.88];[1.74];[0.64,0.0,1.0]
0.0-1.6;6.5-30.0;30.0-40.0;DoubleCrystalBall;;;[0.02202,0.005,0.07];[1.89,1.0,3.0];[1.88];[1.74];[0.64,0.0,1.0]
0.0-1.6;6.5-30.0;40.0-50.0;DoubleCrystalBall;;;[0.02202,0.005,0.07];[1.89,1.0,3.0];[1.88];[1.74];[0.64,0.0,1.0]
0.0-1.6;6.5-30.0;50.0-100.0;DoubleCrystalBall;;;[0.02202,0.005,0.07];[1.89,1.0,3.0];[1.88];[1.74];[0.64,0.0,1.0]
0.0-1.6;6.5-9.0;0.0-100.0;DoubleCrystalBall;;;[0.02202,0.005,0.07];[1.89,1.0,3.0];[1.88];[1.74];[0.64,0.0,1.0]
0.0-1.6;9.0-12.0;0.0-100.0;DoubleCrystalBall;;;[0.02202,0.005,0.07];[1.89,1.0,3.0];[1.88];[1.74];[0.64,0.0,1.0]
0.0-1.6;12.0-15.0;0.0-100.0;DoubleCrystalBall;;;[0.02202,0.005,0.07];[1.89,1.0,3.0];[1.88];[1.74];[0.64,0.0,1.0]
0.0-1.6;15.0-20.0;0.0-100.0;DoubleCrystalBall;;;[0.02202,0.005,0.07];[1.89,1.0,3.0];[1.88];[1.74];[0.64,0.0,1.0]
0.0-1.6;20.0-30.0;0.0-100.0;DoubleCrystalBall;;;[0.02202,0.005,0.07];[1.89,1.0,3.0];[1.88];[1.74];[0.64,0.0,1.0]
0.0-1.6;6.5-30.0;0.0-100.0;DoubleCrystalBall;;;[0.02202,0.005,0.07];[1.89,1.0,3.0];[1.88];[1.74];[0.64,0.0,1.0]
1.6-2.4;3.0-30.0;0.0-20.0;DoubleCrystalBall;;;[0.04286,0.005,0.07];[1.65,1.0,3.0];[2.15];[1.55];[0.75,0.0,1.0]
1.6-2.4;3.0-30.0;20.0-40.0;DoubleCrystalBall;;;[0.04286,0.005,0.07];[1.65,1.0,3.0];[2.15];[1.55];[0.75,0.0,1.0]
1.6-2.4;3.0-30.0;40.0-100.0;DoubleCrystalBall;;;[0.04286,0.005,0.07];[1.65,1.0,3.0];[2.15];[1.55];[0.75,0.0,1.0]
1.6-2.4;3.0-6.5;0.0-100.0;DoubleCrystalBall;;;[0.04286,0.005,0.07];[1.65,1.0,3.0];[2.15];[1.55];[0.75,0.0,1.0]
1.6-2.4;6.5-12.0;0.0-100.0;DoubleCrystalBall;;;[0.04286,0.005,0.07];[1.65,1.0,3.0];[2.15];[1.55];[0.75,0.0,1.0]
1.6-2.4;12.0-30.0;0.0-100.0;DoubleCrystalBall;;;[0.04286,0.005,0.07];[1.65,1.0,3.0];[2.15];[1.55];[0.75,0.0,1.0]
1.6-2.4;3.0-30.0;0.0-100.0;DoubleCrystalBall;;;[0.04286,0.005,0.07];[1.65,1.0,3.0];[2.15];[1.55];[0.75,0.0,1.0]
