rap;pt;cent;Model_Bkg_PbPb;N_Bkg_PbPb;lambda1_Bkg_PbPb;lambda2_Bkg_PbPb;lambda3_Bkg_PbPb;lambda4_Bkg_PbPb;lambda5_Bkg_PbPb;lambda6_Bkg_PbPb
0.0-2.4;6.5-50.0;0-10;Chebychev1;;[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0]
0.0-2.4;6.5-7.5;0-10;Chebychev1;;[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0]
0.0-2.4;7.5-8.5;0-10;Uniform;;[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0]
0.0-2.4;8.5-9.5;0-10;Uniform;;[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0]
0.0-2.4;9.5-11.0;0-10;Chebychev1;;[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0]
0.0-2.4;11.0-13.0;0-10;Chebychev1;;[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0]
0.0-2.4;13.0-15.0;0-10;Chebychev1;;[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0]
0.0-2.4;15.0-20.0;0-10;Chebychev1;;[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0]
0.0-2.4;20.0-50.0;0-10;Chebychev1;;[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0]
